Channel,Peak viewers,Followers gained,Views gained,Language,T
KriszhAdvice,28709,97984,6927865,Hungarian,962
QuickyBaby,11077,45998,5642381,English,737
aDrive,14637,117274,3858228,English,354
Ampeterby7,43882,1185647,6513197,Spanish,245
KabajiOW,13865,87338,4098475,English,947
SNEUX,30067,155555,4540889,Spanish,376
TrU3Ta1ent,10901,101235,6614948,English,891
OgamingSC2,11457,11075,15776556,French,374
머독 (ajehr),11117,86655,5623906,Korean,813
cyr,19267,49771,4106827,English,199
MrSavage,31525,734583,9931629,English,845
Perxitaa,55418,669977,7036771,Spanish,310
IlloJuan,24315,178705,5676686,Spanish,357
masondota2,8377,39906,3406472,English,669
Annoying,17361,158587,1799471,English,459
고차비 (kumikomii),5227,62122,5979126,Korean,764
Manyrin,17140,146381,11128490,Russian,253
1DrakoNz,15242,252999,6950267,Portuguese,652
Pace22,10350,112723,3080537,English,167
Rammus53,16370,332303,11041262,Turkish,471
SaltyTeemo,1803,36103,2117741,English,719
Odablock,29397,92477,4228405,English,356
MckyTV,49791,256660,9947455,German,434
Calebhart42,6763,13410,2533119,English,896
MacieJay,7318,195140,5353692,English,49
R6esportsBR,60386,98848,5855733,Portuguese,80
chistor_,7099,30354,5658271,Russian,934
Kephrii,8709,102990,5923710,English,855
FEDMYSTER,35011,284967,5176805,English,901
Gosu,16362,185952,9377658,English,397
supertf,9118,139939,3551440,English,237
MoMaN,16550,120693,8390437,French,681
Kotton,58818,80920,4459178,English,53
saintvicious,5370,44436,3133396,English,334
winstrike_tv,153252,148055,8767404,Russian,891
pijack11,8181,144993,6752832,Portuguese,618
pqueen,11976,328149,8544093,Turkish,969
Northernlion,9312,22629,3384340,English,46
Nattank,8770,67207,8232442,Portuguese,947
bmkibler,15034,23971,5087052,English,147
Arteezy,31009,99726,3776042,English,354
선바 (sunbaking),8260,98720,3298202,Korean,57
flamuu,5242,36301,3225407,English,232
Mixwell,23552,271798,6539837,Spanish,921
AntoineDanielLive,16671,272263,6778234,French,490
G4G_REVENANT,14376,69353,6608568,Spanish,506
maxim,21262,129119,5439874,German,929
양띵 (yd0821),38412,56233,1901665,Korean,324
c9judite,8210,84754,7982996,Portuguese,976
WOKE,50598,105725,3460437,English,522
Amaz,12652,-5405,4237993,English,856
ESL_SC2,40072,36130,5674624,English,271
CooLifeGame,15459,167356,5764214,Spanish,641
BruceGrannec,11287,95268,5973378,French,896
CuteDog_,7016,22074,3489772,English,336
大丸 (wtf_winds123),11975,32952,9883708,Chinese,18
theRealShooKon3,6148,37207,2944974,English,807
Albralelie,18730,216977,5392597,English,315
룩삼 (looksam),32222,14351,7901792,Korean,434
GTimeTV,14110,155419,5838039,German,27
WagamamaTV,7377,20933,3880798,English,162
sleepy,8855,254462,3295029,English,813
FifaTargrean,6721,66121,7798628,Thai,570
GrandPOObear,13295,44926,3877237,English,696
Pun1shers_TV,6289,51159,4148542,Greek,403
gamelifeow,37939,169229,8373012,Russian,465
Sh4dowehhh,11788,70619,6477747,Russian,468
LuluLuvely,10110,360592,6019198,English,899
Swifty,19884,71011,8647522,English,839
Mibrtv,151094,242229,6671227,Portuguese,149
PsheroTV,10739,59927,5384623,English,407
bytarifaaa,121009,629175,3651549,Spanish,621
Alderiate,11480,80730,5471250,French,994
Solaaaa,16718,107558,5135340,German,659
