First	Last_name	Player	AGE	EVENTS_PLAYED	AVG_CARRY_DISTANCE	STEEPEST_LAUNCH_ANGLE	FAIRWAYS_HIT	TOTAL_DRIVES
Tom	Lovelady	Tom Lovelady	41	28	302.6	14.38	619	964
Tommy	Fleetwood	Tommy Fleetwood	27	17	286.0	12.26	481	644
Tony	Finau	Tony Finau	28	26	296.9	12.77	650	1,020
Trey	Mullinax	Trey Mullinax	27	24	300.4	13.58	513	794
Troy	Merritt	Troy Merritt	31	27	274.5	11.23	747	1,020
Tyler	Duncan	Tyler Duncan	30	31	270.4	11.92	825	1,076
Tyrone	Aswegen	Tyrone Van Aswegen	33	31	273.4	11.25	739	1,158
Tyrrell	Hatton	Tyrrell Hatton	32	15	284.2	12.12	392	532
Vaughn	Taylor	Vaughn Taylor	36	25	264.4	12.99	746	980
Webb	Simpson	Webb Simpson	33	24	272.4	12.38	694	1,018
Wesley	Bryan	Wesley Bryan	32	23	265.4	12.22	522	718
Whee	Kim	Whee Kim	26	30	270.5	12.08	759	1,018
William	McGirt	William McGirt	34	26	269.1	11.46	651	1,046
Xander	Schauffele	Xander Schauffele	24	25	289.7	10.7	677	900
Xinjun	Zhang	Xinjun Zhang	31	28	280.2	11.79	684	796
Zac	Blair	Zac Blair	29	20	259.8	12.97	509	644
Zach	Johnson	Zach Johnson	42	24	269.5	11.33	701	948
